brand,cashback,offer,details,url,source,date_time
"pevonia","5.0%","5.0% Cash Back","Get a great deal from See all Pevonia plus  5.0% Cash Back  from Ebates!","pevonia.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"rag-bone","5.0%","5.0% Cash Back","Get a great deal from See all rag & bone plus  5.0% Cash Back  from Ebates!","rag-bone.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"stuartweitzman","5.0%","5.0% Cash Back","Get a great deal from See all Stuart Weitzman plus  5.0% Cash Back  from Ebates!","stuartweitzman.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"briggs-riley","4.5%","4.5% Cash Back","Get a great deal from Briggs & Riley Travelware plus  4.5% Cash Back  from Ebates!","briggs-riley.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"elevtd","4.5%","4.5% Cash Back","Get a great deal from See all ELEVTD plus  4.5% Cash Back  from Ebates!","elevtd.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"joesjeans","4.5%","4.5% Cash Back","Get a great deal from See all JOE'S Jeans plus  4.5% Cash Back  from Ebates!","joesjeans.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"luisaviaroma","4.5%","Up to 4.5% Cash Back","Get a great deal from See all Luisaviaroma plus  Up to 4.5% Cash Back  from Ebates!","luisaviaroma.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"bergdorfgoodman","4.0%","4.0% Cash Back","Get a great deal from See all Bergdorf Goodman plus  4.0% Cash Back  from Ebates!","bergdorfgoodman.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:44
"cledepeaubeaute","4.0%","4.0% Cash Back","Get a great deal from See all Cle de Peau Beaute plus  4.0% Cash Back  from Ebates!","cledepeaubeaute.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"dkny","4.0%","4.0% Cash Back","Get a great deal from See all DKNY plus  4.0% Cash Back  from Ebates!","dkny.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"dooneybourke","4.0%","4.0% Cash Back","Get a great deal from See all Dooney & Bourke plus  4.0% Cash Back  from Ebates!","dooneybourke.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"eastdane","4.0%","4.0% Cash Back","Get a great deal from See all East Dane plus  4.0% Cash Back  from Ebates!","eastdane.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"ghurka","4.0%","4.0% Cash Back","Get a great deal from See all Ghurka plus  4.0% Cash Back  from Ebates!","ghurka.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"giltgroupe","4.0%","4.0% Cash Back","Get a great deal from See all Gilt plus  4.0% Cash Back  from Ebates!","giltgroupe.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"giorgioarmanibeauty","4.0%","4.0% Cash Back","Get a great deal from Giorgio Armani Beauty plus  4.0% Cash Back  from Ebates!","giorgioarmanibeauty.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
