brand,cashback,offer,details,url,source,date_time
"Kellogg’s®","50¢","SAVE 50¢","on any TWO Kellogg’s® Fruit Flavored Snacks","","https://www.coupons.com/coupons/",2017-05-05 14:53:00
"Windex®","75¢","SAVE 75¢","on any ONE (1) Windex® Original Glass and Surface Wipes (excludes travel and trial sizes)","","https://www.coupons.com/coupons/",2017-05-05 14:53:00
"Gerber®","$1.00","SAVE $1.00","off any THREE (3) Gerber® Graduates® Puffs, Lil' Crunchies®, or Yogurt Melts™ items","","https://www.coupons.com/coupons/",2017-05-05 14:53:00
"Beneful®","$3.00","SAVE $3.00","on one (1) bag of Purina® Beneful® Grain Free Dry Dog Food","","https://www.coupons.com/coupons/",2017-05-05 14:53:00
"COVERGIRL®","$0.50","$0.50 OFF","ONE COVERGIRL Product (excludes Eye Products, Cheekers, accessories and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:01
"Cat Chow®","$2.05","SAVE $2.05","on one (1) 13lb or larger bag of Purina® Cat Chow® brand dry cat food, any variety","","https://www.coupons.com/coupons/",2017-05-05 14:53:01
"Ziploc®","$1.00","SAVE $1.00","on any TWO (2) Ziploc® brand containers","","https://www.coupons.com/coupons/",2017-05-05 14:53:01
"BOUNTY®","25¢","25¢ OFF","ONE Bounty® Napkins (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:01
"Nature Valley","50¢","SAVE 50¢ ON ONE","when you buy ONE BOX any Nature Valley™ Granola Cups","","https://www.coupons.com/coupons/",2017-05-05 14:53:01
"TAMPAX®","75¢","75¢ OFF","ONE Tampax® Pearl Product 18 ct or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:01
"TAMPAX®","$2.00","$2.00 OFF","TWO Tampax® Pearl Products (18 ct or larger) (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:02
"COVERGIRL®","$0.50","$0.50 OFF","ONE COVERGIRL Eye Product (excludes 1-Kit Eyeshadows, Total Tease Mascara, accessories and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:02
"Children's ZYRTEC®","$4.00","SAVE $4.00","on any ONE (1) Children's ZYRTEC® product","","https://www.coupons.com/coupons/",2017-05-05 14:53:02
"LUVS®","$1.00","$1.00 OFF","ONE Luvs® Diapers (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:02
"BOOST®","$1.50","SAVE $1.50","on any ONE (1) multipack or canister of BOOST® Nutritional Drink or Drink Mix","","https://www.coupons.com/coupons/",2017-05-05 14:53:02
"Clorox Scentiva™","$0.75","SAVE $0.75","On any ONE (1) Clorox Scentiva™ Wipe or Spray Item (Redeemable at Walmart)","","https://www.coupons.com/coupons/",2017-05-05 14:53:02
"Fresh Step®","$1.50","SAVE $1.50","on any ONE (1) Unscented Fresh Step® Clumping Litter, 15.4+ lbs","","https://www.coupons.com/coupons/",2017-05-05 14:53:02
"Quilted Northern Ultra Soft & Strong®","$1.50","SAVE $1.50","off any ONE (1) package of Quilted Northern Ultra Soft & Strong®, 24 Double Roll (Available at Walmart)","","https://www.coupons.com/coupons/",2017-05-05 14:53:02
"CASCADE®","50¢","50¢ OFF","ONE Cascade® Platinum Dish Detergent 30 ct or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:03
"MOTRIN®","$1.00","SAVE $1.00","on any ONE (1) MOTRIN® or Children’s MOTRIN® product","","https://www.coupons.com/coupons/",2017-05-05 14:53:03
"Biotrue® Solution","","TAKE THE BIOTRUE CHALLENGE","Get your special offer and feel the difference","","https://www.coupons.com/coupons/",2017-05-05 14:53:03
"VENUS®","$1.00","$1.00 OFF","ONE Simply Venus® Disposable Razor Pack 4ct or larger","","https://www.coupons.com/coupons/",2017-05-05 14:53:03
"Adult RHINOCORT®","$6.00","SAVE $6.00","on any ONE (1) Adult RHINOCORT® product","","https://www.coupons.com/coupons/",2017-05-05 14:53:03
"ARM & HAMMER™","$1.00","SAVE $1.00","on ONE (1) ARM & HAMMER™ Single-Dose Laundry Detergent","","https://www.coupons.com/coupons/",2017-05-05 14:53:03
"Gerber®","$1.00","SAVE $1.00","When you buy any FOUR (4) Gerber® 1st Foods, 2nd Foods, or 3rd Foods","","https://www.coupons.com/coupons/",2017-05-05 14:53:03
"CREST®","50¢","50¢ OFF","ONE Scope® Mouthwash 237ml or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:03
"VENUS®","50¢","50¢ OFF","ONE Satin Care® Shave Gel 7oz or larger","","https://www.coupons.com/coupons/",2017-05-05 14:53:04
"Amopé® Pedi Perfect®","$10.00","$10.00 OFF","on any ONE (1) Amopé® Pedi Perfect® Electronic Foot File","","https://www.coupons.com/coupons/",2017-05-05 14:53:04
"VENUS®","$1.00","$1.00 OFF","ONE Venus® Original OR Embrace® Disposable Razor Pack 2ct or larger","","https://www.coupons.com/coupons/",2017-05-05 14:53:04
"VENUS®","75¢","75¢ OFF","ONE Venus® Shave Gel 6oz or larger","","https://www.coupons.com/coupons/",2017-05-05 14:53:04
"POISE®","$2.00","SAVE $2.00","on any ONE (1) package of POISE® Liners (Not valid on 14-26 ct. Liners)","","https://www.coupons.com/coupons/",2017-05-05 14:53:04
"SECRET®","$1.50","$1.50 OFF","ONE Secret® Clinical Antiperspirant/Deodorant (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:04
"Glade®","$1.50","SAVE $1.50","on any ONE (1) Glade® Atmosphere Collection","","https://www.coupons.com/coupons/",2017-05-05 14:53:04
"ALWAYS®","50¢","50¢ OFF","ONE Always® Pad (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:04
"Amopé® Pedi Perfect®","$15.00","$15.00 OFF","on any ONE (1) Amopé® Pedi Perfect® Wet and Dry™ Rechargeable Foot File","","https://www.coupons.com/coupons/",2017-05-05 14:53:05
"ALWAYS®","75¢","75¢ OFF","ONE Always® Radiant Pad (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:05
"ORAL-B®","50¢","50¢ OFF","ONE Oral-B® Glide Floss 35M+ OR Oral-B® Glide Floss Picks 30ct+ (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:05
"ALWAYS®","$1.00","$1.00 OFF","ONE Always® Radiant Pantiliners 48 ct or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:05
"Clairol","$5.00","$5.00 OFF","TWO (2) boxes of Clairol Hair Color (excludes Age Defy, Balsam, Textures & Tones and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:05
"CREST®","50¢","50¢ OFF","ONE Crest® Pro-Health™ Stages™ OR Crest® Kids Toothpaste 4.2oz or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:05
"PAMPERS®","$1.00","$1.00 OFF","ONE Pampers® Cruisers Diapers (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:05
"IVORY®","25¢","25¢ OFF","ONE Ivory® Body Wash OR ONE Bar Soap 3 ct or larger (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:06
"POISE®","$2.00","SAVE $2.00","on any ONE (1) package of POISE® Pads (11 – 44 ct.)","","https://www.coupons.com/coupons/",2017-05-05 14:53:06
"Friskies®","$0.75","SAVE $0.75","on one (1) 3.15lb or larger bag of Purina® Friskies® brand dry cat food, any variety","","https://www.coupons.com/coupons/",2017-05-05 14:53:06
"OPTI-FREE® Solution","$2.00","SAVE $2.00","On Any ONE (1) OPTI-FREE® Solution (10oz or Larger) or OPTI-FREE® Rewetting Drop (10mL or Larger)","","https://www.coupons.com/coupons/",2017-05-05 14:53:06
"Juicy Juice® Splashers®","$1.00","SAVE $1.00","on any ONE (1) carton of Juicy Juice® Splashers® (Available at Walmart)","","https://www.coupons.com/coupons/",2017-05-05 14:53:06
"Coppertone®","$3.00","SAVE $3.00","on any TWO (2) Coppertone® products (5 oz. or larger)","","https://www.coupons.com/coupons/",2017-05-05 14:53:06
"ORAL-B®","50¢","50¢ OFF","ONE Oral-B® Adult Pro-Health™ Toothbrush (excludes Healthy Clean and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:06
"GILLETTE®","50¢","50¢ OFF","ONE Gillette® Shave Gel (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:06
"Gerber®","$0.75","SAVE $0.75","when you purchase any TWO (2) Gerber® Cereal products","","https://www.coupons.com/coupons/",2017-05-05 14:53:07
"Kellogg's®","$2.00","SAVE $2.00","on any TWO Kellogg's® Special K® Protein Meal Bars and/or Protein Shakes","","https://www.coupons.com/coupons/",2017-05-05 14:53:07
"OFF!®","$2.00","SAVE $2.00","on any ONE (1) OFF!® Mosquito Lamp I","","https://www.coupons.com/coupons/",2017-05-05 14:53:07
"CREST®","50¢","50¢ OFF","ONE Crest® 3DWhite™ Toothpaste 3.5oz+ (excludes Cavity Protection, Tartar Protection, Baking Soda and trial/ travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:07
"Gerber®","$1.00","SAVE $1.00","When you purchase any FOUR (4) Gerber® Grabbers™ or Organic Pouches","","https://www.coupons.com/coupons/",2017-05-05 14:53:07
"Stevia In The Raw®","$1.50","SAVE $1.50","on one (1) Stevia In The Raw® 9.7oz Bakers Bag","","https://www.coupons.com/coupons/",2017-05-05 14:53:07
"Snuggle® Plus SuperFresh™","$0.50","SAVE $0.50","On ONE (1) Snuggle® Plus SuperFresh™ Liquid (48.6 oz) or Sheets (105 ct) (Available at Walmart)","","https://www.coupons.com/coupons/",2017-05-05 14:53:07
"L'Oreal Paris","$1.00","SAVE $1.00","on ANY ONE (1) L'Oreal Paris Hair Expert product or Advanced Hairstyle product (excludes 3 oz. trial size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:07
"Schick Hydro Silk® TrimStyle® Razor","$4.00","SAVE $4.00","on any ONE (1) Schick Hydro Silk® TrimStyle® Razor(excludes Schick® Disposables and Men’s Razor)","","https://www.coupons.com/coupons/",2017-05-05 14:53:08
"Clairol","$2.00","$2.00 OFF","ONE (1) box of Clairol® Hair Color (excludes Age Defy, Balsam, Textures & Tones and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:08
"Carr’s®","$1.00","SAVE $1.00","on any ONE Carr’s® Crackers","","https://www.coupons.com/coupons/",2017-05-05 14:53:08
"Bio-Oil®","$2.00","SAVE $2.00","On a 2 fl. oz. bottle of Bio-Oil® Located in Skincare and First Aid sections","","https://www.coupons.com/coupons/",2017-05-05 14:53:08
"all® OXI","$1.50","SAVE $1.50","on any ONE (1) all® OXI Liquid Laundry Detergent (184.5oz) (Available at Walmart)","","https://www.coupons.com/coupons/",2017-05-05 14:53:08
"all® free clear","$1.00","SAVE $1.00","on any ONE (1) all® free clear liquid (141oz) or all® mighty pacs® (67ct) (Available at Walmart)","","https://www.coupons.com/coupons/",2017-05-05 14:53:08
"Schwarzkopf","$3.00","$3.00 OFF","When You Buy One (1) Schwarzkopf® Color Ultime® or Keratin Color Hair Color Product","","https://www.coupons.com/coupons/",2017-05-05 14:53:08
"Holland House® Cooking Wine","$0.75","SAVE $0.75","On Any One (1) Bottle of Holland House® Cooking Wine","","https://www.coupons.com/coupons/",2017-05-05 14:53:08
"Windex®","$2.00","SAVE $2.00","on any ONE (1) Windex® Outdoor Glass, Patio, and More! Product (excludes travel and trial sizes)","","https://www.coupons.com/coupons/",2017-05-05 14:53:08
"Nexium® 24HR","$2.00","$2.00 OFF","ONE (1) Nexium® 24HR","","https://www.coupons.com/coupons/",2017-05-05 14:53:09
"Carnation Breakfast Essentials®","$2.00","SAVE $2.00","on any TWO (2) Carnation Breakfast Essentials® Powder Drink Mix Nutritional Products","","https://www.coupons.com/coupons/",2017-05-05 14:53:09
"TUMS®","$1.50","SAVE $1.50","on any ONE (1) TUMS® Chewy Bites Product, 32 ct or larger","","https://www.coupons.com/coupons/",2017-05-05 14:53:09
"ORAL-B®","50¢","50¢ OFF","ONE Crest® Kids, Oral-B® Kids, Oral-B® Pro-Health JR™ OR Oral-B® Pro-Health™ Stages™ Toothbrush (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:53:09
"Schick Hydro Silk® Razor","$3.00","SAVE $3.00","on any ONE (1) Schick Hydro Silk® Razor or TrimStyle (excludes Schick® Disposables and Men’s Razor)","","https://www.coupons.com/coupons/",2017-05-05 14:53:09
"Scotchgard","$1.00","$1.00 OFF","On Any ONE (1) Scotchgard Product","","https://www.coupons.com/coupons/",2017-05-05 14:53:09
