brand,cashback_today,cashback_historical,diff,offer,details,url,source
"johnvarvatos","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all John Varvatos plus  4.0% Cash Back  from Ebates!","johnvarvatos.com","https://www.ebates.com/luxury/all-stores.htm"
"jurlique","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Jurlique plus  4.0% Cash Back  from Ebates!","jurlique.com","https://www.ebates.com/luxury/all-stores.htm"
"marcjacobsbeauty","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Marc Jacobs Beauty plus  4.0% Cash Back  from Ebates!","marcjacobsbeauty.com","https://www.ebates.com/luxury/all-stores.htm"
"neimanmarcuslastcall","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from Neiman Marcus Last Call plus  4.0% Cash Back  from Ebates!","neimanmarcuslastcall.com","https://www.ebates.com/luxury/all-stores.htm"
"orchardmile","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Orchard Mile plus  4.0% Cash Back  from Ebates!","orchardmile.com","https://www.ebates.com/luxury/all-stores.htm"
"ray-ban","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Ray-Ban plus  4.0% Cash Back  from Ebates!","ray-ban.com","https://www.ebates.com/luxury/all-stores.htm"
"revive","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all ReVive plus  4.0% Cash Back  from Ebates!","revive.com","https://www.ebates.com/luxury/all-stores.htm"
"saksfifthavenue","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Saks Fifth Avenue plus  4.0% Cash Back  from Ebates!","saksfifthavenue.com","https://www.ebates.com/luxury/all-stores.htm"
"saksfifthavenueoff5th","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Saks OFF 5TH plus  4.0% Cash Back  from Ebates!","saksfifthavenueoff5th.com","https://www.ebates.com/luxury/all-stores.htm"
"sephora","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Sephora plus  4.0% Cash Back  from Ebates!","sephora.com","https://www.ebates.com/luxury/all-stores.htm"
"shiseido","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Shiseido plus  4.0% Cash Back  from Ebates!","shiseido.com","https://www.ebates.com/luxury/all-stores.htm"
"stylebop","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Stylebop plus  4.0% Cash Back  from Ebates!","stylebop.com","https://www.ebates.com/luxury/all-stores.htm"
"surlatable","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Sur La Table plus  4.0% Cash Back  from Ebates!","surlatable.com","https://www.ebates.com/luxury/all-stores.htm"
"veronicabeard","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Veronica Beard plus  4.0% Cash Back  from Ebates!","veronicabeard.com","https://www.ebates.com/luxury/all-stores.htm"
"vince","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Vince plus  4.0% Cash Back  from Ebates!","vince.com","https://www.ebates.com/luxury/all-stores.htm"
"waterford","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Waterford.com plus  4.0% Cash Back  from Ebates!","waterford.com","https://www.ebates.com/luxury/all-stores.htm"
"wedgwood","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from See all Wedgwood plus  4.0% Cash Back  from Ebates!","wedgwood.com","https://www.ebates.com/luxury/all-stores.htm"
"yslbeautyus","4.0%","4.0%","0.0%","4.0% Cash Back","Get a great deal from Yves Saint Laurent Beauty plus  4.0% Cash Back  from Ebates!","yslbeautyus.com","https://www.ebates.com/luxury/all-stores.htm"
"alexisbittar","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from See all Alexis Bittar plus  3.5% Cash Back  from Ebates!","alexisbittar.com","https://www.ebates.com/luxury/all-stores.htm"
"belstaff","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from See all Belstaff plus  3.5% Cash Back  from Ebates!","belstaff.com","https://www.ebates.com/luxury/all-stores.htm"
"calvinklein","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from See all Calvin Klein plus  3.5% Cash Back  from Ebates!","calvinklein.com","https://www.ebates.com/luxury/all-stores.htm"
"dianevonfurstenberg","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from Diane von Furstenberg DVF plus  3.5% Cash Back  from Ebates!","dianevonfurstenberg.com","https://www.ebates.com/luxury/all-stores.htm"
"effyjewelers","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from See all Effy Jewelry plus  3.5% Cash Back  from Ebates!","effyjewelers.com","https://www.ebates.com/luxury/all-stores.htm"
"frankandoak","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from See all Frank + Oak plus  3.5% Cash Back  from Ebates!","frankandoak.com","https://www.ebates.com/luxury/all-stores.htm"
"halston","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from See all Halston Heritage plus  3.5% Cash Back  from Ebates!","halston.com","https://www.ebates.com/luxury/all-stores.htm"
"hugoboss","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from See all Hugo Boss plus  3.5% Cash Back  from Ebates!","hugoboss.com","https://www.ebates.com/luxury/all-stores.htm"
"joie","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from See all Joie plus  3.5% Cash Back  from Ebates!","joie.com","https://www.ebates.com/luxury/all-stores.htm"
"katespade","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from See all kate spade new york plus  3.5% Cash Back  from Ebates!","katespade.com","https://www.ebates.com/luxury/all-stores.htm"
"marahoffman","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from See all Mara Hoffman plus  3.5% Cash Back  from Ebates!","marahoffman.com","https://www.ebates.com/luxury/all-stores.htm"
"matchesfashion","3.5%","3.5%","0.0%","3.5% Cash Back","Get a great deal from See all MATCHESFASHION.COM plus  3.5% Cash Back  from Ebates!","matchesfashion.com","https://www.ebates.com/luxury/all-stores.htm"
"armani","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Armani plus  3.0% Cash Back  from Ebates!","armani.com","https://www.ebates.com/luxury/all-stores.htm"
"barneysnewyork","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Barneys New York plus  3.0% Cash Back  from Ebates!","barneysnewyork.com","https://www.ebates.com/luxury/all-stores.htm"
"barneyswarehouse","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Barneys Warehouse plus  3.0% Cash Back  from Ebates!","barneyswarehouse.com","https://www.ebates.com/luxury/all-stores.htm"
"bloomingdales","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Bloomingdale's plus  3.0% Cash Back  from Ebates!","bloomingdales.com","https://www.ebates.com/luxury/all-stores.htm"
"darphin","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Darphin plus  3.0% Cash Back  from Ebates!","darphin.com","https://www.ebates.com/luxury/all-stores.htm"
"farfetch","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Farfetch plus  3.0% Cash Back  from Ebates!","farfetch.com","https://www.ebates.com/luxury/all-stores.htm"
"helmutlang","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Helmut Lang plus  3.0% Cash Back  from Ebates!","helmutlang.com","https://www.ebates.com/luxury/all-stores.htm"
"jomalone","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Jo Malone London plus  3.0% Cash Back  from Ebates!","jomalone.com","https://www.ebates.com/luxury/all-stores.htm"
"judithripka","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Judith Ripka plus  3.0% Cash Back  from Ebates!","judithripka.com","https://www.ebates.com/luxury/all-stores.htm"
"kellywearstler","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all Kelly Wearstler plus  3.0% Cash Back  from Ebates!","kellywearstler.com","https://www.ebates.com/luxury/all-stores.htm"
"loccitane","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all L'OCCITANE plus  3.0% Cash Back  from Ebates!","loccitane.com","https://www.ebates.com/luxury/all-stores.htm"
"lagarconne","3.0%","3.0%","0.0%","3.0% Cash Back","Get a great deal from See all La Garconne plus  3.0% Cash Back  from Ebates!","lagarconne.com","https://www.ebates.com/luxury/all-stores.htm"
