brand,cashback_today,cashback_historical,diff,offer,details,url,source
"Sesame Street","$3.99","$3.99","0.0%","3 LEARNING KITS FOR $3.99","Sign Up Today and get a Free Growth Chart","","https://www.coupons.com/coupons/"
"The Popcorn Factory","20%","20%","0.0%","20% OFF MOTHER'S DAY GIFTS","Click through to get started.","","https://www.coupons.com/coupons/"
"Free Mickey Beach Towel","$1","$1","0.0%","4 DISNEY MOVIES FOR $1","FREE SHIPPING on initial order! With membership. See details.","","https://www.coupons.com/coupons/"
"Microsoft","$150","$150","0.0%","UP TO $150 OFF SURFACE PRO 4","Click through to get started.","","https://www.coupons.com/coupons/"
"Hotwire","$15","$15","0.0%","$15 OFF $100 HOT RATE® HOTELS","Click through to get started.","","https://www.coupons.com/coupons/"
"The New York Times","50%","50%","0.0%","50% OFF 26 WEEKS OF BASIC DIGITAL ACCESS","ONLINE SPECIAL","","https://www.coupons.com/coupons/"
"Walgreens","25%","25%","0.0%","COUPONS.COM EXCLUSIVE: 25% OFF CONTACT LENSES + FREE SHIPPING","Click through for code","","https://www.coupons.com/coupons/"
"Lorex Technology","15%","15%","0.0%","15% OFF SITEWIDE","Click through to shop.","","https://www.coupons.com/coupons/"
"Dr. Seuss Subscription","$5.95","$5.95","0.0%","5 BOOKS FOR $5.95","Sign Up Today and get a Free Activity Book","","https://www.coupons.com/coupons/"
"Eastbay","15%","15%","0.0%","15% OFF $75 OR MORE PLUS FREE SHIPPING","Exclusions Apply.","","https://www.coupons.com/coupons/"
"Florastor®","$10","$10","0.0%","SAVE UP TO $10 AT WALMART","The daily probiotic for digestive health.","","https://www.coupons.com/coupons/"
"Office Depot and OfficeMax","30%","30%","0.0%","30% OFF $50 PRINT AND COPY SERVICES","","","https://www.coupons.com/coupons/"
"Brookstone","$20-$60","$20-$60","0.0%","$20-$60 OFF SELECT FITBITS","Mother's Day Fitbit Event!","","https://www.coupons.com/coupons/"
"Free Jungle Book Lunch Box","$1","$1","0.0%","4 DISNEY MOVIES FOR $1","FREE SHIPPING on initial order! With membership. See details.","","https://www.coupons.com/coupons/"
"Florastor®","$4","$4","0.0%","CLICK AND SAVE $4","Your daily probiotic supplement. Are you Biotic?","","https://www.coupons.com/coupons/"
"Things Remembered","25%","25%","0.0%","25% OFF + FREE SHIPPING","Click through to get started.","","https://www.coupons.com/coupons/"
"Teleflora","25%","25%","0.0%","EXCLUSIVE: 25% OFF MOTHER'S DAY FLOWERS + SAME DAY DELIVERY","Click through to get started.","","https://www.coupons.com/coupons/"
"Newegg","10%","10%","0.0%","10% OFF OR MORE W/ TODAY'S NEWEGG PROMO CODES","Shop Today!","","https://www.coupons.com/coupons/"
"Florastor®","$10","$10","0.0%","SAVE UP TO $10 AT WALGREENS","The daily probiotic for digestive health.","","https://www.coupons.com/coupons/"
"East Dane","70%","70%","0.0%","UP TO 70% OFF SALE","New Styles Added","","https://www.coupons.com/coupons/"
"The New York Times","50%","50%","0.0%","50% OFF 1YR BASIC, ALL ACCESS OR ALL ACCESS","HOME DELIVERY SPECIAL","","https://www.coupons.com/coupons/"
"Florastor®","$10","$10","0.0%","SAVE UP TO $10 AT TARGET","The daily probiotic for digestive health.","","https://www.coupons.com/coupons/"
"Overstock.com","$50","$50","0.0%","EXTRA $50 OFF $500 + FREE SHIPPING","Coupons Exclusive!","","https://www.coupons.com/coupons/"
"Florastor®","$6","$6","0.0%","CLICK AND SAVE $6","Your daily probiotic supplement. Are you Biotic?","","https://www.coupons.com/coupons/"
"Newegg","35%","35%","0.0%","NEWEGG'S TRENDING OFFERS - UP TO 35% OFF","Shop Today!","","https://www.coupons.com/coupons/"
"MyProtein","30%","30%","0.0%","COUPONS.COM EXCLUSIVE! 30% OFF SITEWIDE","Click through to shop.","","https://www.coupons.com/coupons/"
"Fannie May","$59","$59","0.0%","FREE SHIPPING ON $59+ ORDERS","Click through to get started.","","https://www.coupons.com/coupons/"
"Medifast","28%","28%","0.0%","28% OFF MEDIFAST GO™","Just $10.97/day with renewal.","","https://www.coupons.com/coupons/"
"BH Cosmetics","10%","10%","0.0%","EXTRA 10% OFF ALL 28 COLOR EYE & LIP PALETTES","Click through to get started.","","https://www.coupons.com/coupons/"
"GoDaddy","50%","50%","0.0%","COUPONS.COM EXCLUSIVE! 50% OFF HOSTING PLANS","Click through to shop.","","https://www.coupons.com/coupons/"
"Florastor®","$10","$10","0.0%","SAVE UP TO $10 AT CVS","The daily probiotic for digestive health.","","https://www.coupons.com/coupons/"
"ASOS","15%","15%","0.0%","15% OFF FOR STUDENTS + CHANCE TO WIN £1000 STA TRAVEL VOUCHER","","","https://www.coupons.com/coupons/"
"Horchow","25-30%","25-30%","0.0%","EVERYTHING SALE: 25-30% OFF SITEWIDE","Click through to get started.","","https://www.coupons.com/coupons/"
"Paul Fredrick","15%","15%","0.0%","EXCLUSIVE - 15% OFF ORDERS OF $150+","Click through to get started.","","https://www.coupons.com/coupons/"
"Overstock","15-30%","15-30%","0.0%","Take an Extra 15-30% Off","","","https://www.retailmenot.com/"
"Lord & Taylor","60%","60%","0.0%","Up to 60% Off Semi-Annual Price Break","","","https://www.retailmenot.com/"
"Saks Fifth Avenue OFF 5TH","20%","20%","0.0%","Extra 20% Off Your Order","","","https://www.retailmenot.com/"
"Foot Locker","15%","15%","0.0%","15% Off $75+ Online Only","","","https://www.retailmenot.com/"
"Samsung Electronics","$20","$20","0.0%","$20 Cash Back for Online Purchases of $399+","","","https://www.retailmenot.com/"
"Wine.com","10%","10%","0.0%","10% Off Your First Order","RetailMeNot Exclusive! Get 10% off your first order. New Customers Only","wine.com","https://www.retailmenot.com/"
"Things Remembered","15%","15%","0.0%","15% Off
Online & In Store!","Take 15% Off + Free Shipping, discount also applies to personalization. Some Exclusions Apply.","thingsremembered.com","https://www.retailmenot.com/"
"Papa John's","50%","50%","0.0%","50% Off Regular Menu Price Order","Get 50% off Regular Menu Price order","papajohns.com","https://www.retailmenot.com/"
"Bed Bath and Beyond","20%","20%","0.0%","20% Off One
Item In-Store","Get 20% Off One Item In-Store. Some Exclusions Apply. Expires on 05/31/2017.","bedbathandbeyond.com","https://www.retailmenot.com/"
"Michaels","50%","50%","0.0%","50% Off Any One Regular Priced Item","Get 50% Off Any One Regular Priced Item","michaels.com","https://www.retailmenot.com/"
"Hobby Lobby","40%","40%","0.0%","40% Off One Item at Regular Price","Super Savings, Super Selection! Get 40% Off One item at Regular Price. Limit One Coupon per customer per day.","hobbylobby.com","https://www.retailmenot.com/"
"Pizza Hut","50%","50%","0.0%","50% Off All Menu-Priced Pizzas Ordered Online","Get 50% off all menu-priced pizzas ordered online","pizzahut.com","https://www.retailmenot.com/"
"Macy's","30%","30%","0.0%","Up to an Extra 30% Off Select Regular, Sale & Clearance Items","Take an extra 30% off regular, sale & clearance Clothing, shoes & accessories; Extra 25% off regular, sale & clearance fine Jewelry, Watches & Home Items; Extra 10% off regular, sale & clearance Cosmetics/Fragrances, Electrics/Electronics, Furniture, Rugs/floor covering & Mattresses.","macys.com","https://www.retailmenot.com/"
"1800Flowers","20%","20%","0.0%","Save 20% off $49.99+","1800Flowers Code","1800flowers.com","https://www.retailmenot.com/"
"Michael Kors","25%","25%","0.0%","25% off Select Styles","Michael Kors Sale","michaelkors.com","https://www.retailmenot.com/"
"Travelocity","12%","12%","0.0%","12% Off $300 Select Hotel","Travelocity Code","travelocity.com","https://www.retailmenot.com/"
